topical_silo,primary_entity,entity_type,parent_entity,cluster_count,keyword_count,total_volume,dominant_page_type,suggested_url,intent_mix
Breakfast,McGriddle,product_family,Breakfast Menu,5,104,11580,family_section,https://mcdomenuusa.com/breakfast-menu/,nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Breakfast,Sausage McGriddles,product_variant,Breakfast Menu,4,37,11030,item,https://mcdomenuusa.com/menu/breakfast-menu/sausage-mcgriddles/,nutrition_ingredients | nutrition_macros | overview_general | price_value
Sweets & Treats,Hot Fudge Sundae,product_variant,Sweets & Treats,5,38,10870,item,https://mcdomenuusa.com/menu/sweets-treats/hot-fudge-sundae/,nutrition_allergens | nutrition_ingredients | nutrition_macros | overview_general | price_value
McCafe Coffees,McCafe Coffees,menu_guide,,5,93,10860,guide,https://mcdomenuusa.com/mccafe-menu/,nutrition_caffeine | nutrition_macros | overview_general | overview_menu | price_value
McCafe Coffees,McCafe Mocha Frappe Small,product_variant,McCafe Mocha Frappe,7,128,9540,item,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-mocha-frappe-small/,nutrition_allergens | nutrition_caffeine | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
McNuggets & Strips,McNuggets & Strips,menu_guide,,4,112,9250,guide,https://mcdomenuusa.com/nuggets-and-strips/,nutrition_macros | overview_general | overview_menu | price_value
Breakfast,Hotcakes,product_variant,Breakfast Menu,6,122,9140,item,https://mcdomenuusa.com/menu/breakfast-menu/hotcakes/,nutrition_allergens | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Beverages,Smoothie,product_family,Beverages & Drinks,6,105,9090,family_section,https://mcdomenuusa.com/beverage-menu/,nutrition_allergens | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Breakfast,McMuffin,product_family,Breakfast Menu,5,63,8160,family_section,https://mcdomenuusa.com/breakfast-menu/,nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Beverages,Sweet Tea,product_family,Beverages & Drinks,6,98,7820,family_section,https://mcdomenuusa.com/beverage-menu/,nutrition_allergens | nutrition_caffeine | nutrition_ingredients | nutrition_macros | overview_general | price_value
Chicken & Fish,Chicken & Fish Menu,menu_guide,,4,105,7650,guide,https://mcdomenuusa.com/chicken-fish-menu/,nutrition_macros | overview_general | overview_menu | price_value
Fries & Sides,World Famous Fries Large,product_variant,World Famous Fries,3,75,7220,item,https://mcdomenuusa.com/menu/fries-sides/world-famous-fries-large/,geo_price | overview_general | price_value
Breakfast,Sausage Biscuit,product_variant,Breakfast Menu,5,52,7010,item,https://mcdomenuusa.com/menu/breakfast-menu/sausage-biscuit/,nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Breakfast,Sausage McMuffin with Egg,product_variant,Breakfast Menu,3,25,6950,item,https://mcdomenuusa.com/menu/breakfast-menu/sausage-mcmuffin-with-egg/,nutrition_macros | overview_general | price_value
Breakfast,"Sausage, Egg & Cheese McGriddles",product_variant,Breakfast Menu,3,25,6930,item,https://mcdomenuusa.com/menu/breakfast-menu/sausage-egg-cheese-mcgriddles/,nutrition_macros | overview_general | price_value
Breakfast,Fruit & Maple Oatmeal,product_variant,Breakfast Menu,6,39,6430,item,https://mcdomenuusa.com/menu/breakfast-menu/fruit-maple-oatmeal/,nutrition_allergens | nutrition_ingredients | nutrition_macros | overview_general | price_value | timing_hours
Nutrition,"Nutrition, Calories & Allergens",support_page,,2,80,6340,support,https://mcdomenuusa.com/mcdonalds-nutrition-calories-allergens/,nutrition_ingredients | nutrition_macros
Sweets & Treats,Baked Apple Pie,product_variant,Sweets & Treats,4,65,5900,item,https://mcdomenuusa.com/menu/sweets-treats/baked-apple-pie/,nutrition_macros | overview_general | overview_menu | price_value
McCafe Coffees,McCafe Hot Chocolate,product_family,McCafe Coffees,6,36,5800,family_section,https://mcdomenuusa.com/mccafe-menu/,nutrition_allergens | nutrition_caffeine | nutrition_ingredients | nutrition_macros | overview_general | price_value
Limited Time,McRib,product_family,Limited Time Menu,5,46,5760,family_section,https://mcdomenuusa.com/limited-time-menu/,nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Value & Deals,Deals & McValue Guide,support_page,,2,47,5610,support,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,overview_general | price_value
Value & Deals,World Famous Fries,product_family,McValue Menu,3,15,5520,family_section,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,nutrition_macros | overview_general | price_value
Sweets & Treats,M&M'S McFlurry,product_variant,Sweets & Treats,4,34,5360,item,https://mcdomenuusa.com/menu/sweets-treats/m-ms-mcflurry/,nutrition_allergens | nutrition_macros | overview_general | price_value
Beverages,Frozen Fanta Blue Raspberry,product_family,Beverages & Drinks,4,32,5290,family_section,https://mcdomenuusa.com/beverage-menu/,nutrition_macros | overview_general | overview_menu | price_value
Breakfast,Bagel,product_variant,Breakfast Menu,4,29,5150,item,https://mcdomenuusa.com/menu/breakfast-menu/bagel/,nutrition_ingredients | nutrition_macros | overview_general | price_value
Beverages,Unsweetened Iced Tea,product_family,Beverages & Drinks,3,36,4130,family_section,https://mcdomenuusa.com/beverage-menu/,nutrition_caffeine | nutrition_macros | overview_general
Beverages,Strawberry Banana Smoothie,product_family,Beverages & Drinks,4,29,4100,family_section,https://mcdomenuusa.com/beverage-menu/,nutrition_ingredients | nutrition_macros | overview_general | price_value
Sweets & Treats,McFlurry,product_family,Sweets & Treats,7,30,3810,family_section,https://mcdomenuusa.com/sweets-treats/,geo_price | nutrition_allergens | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Sweets & Treats,Cookies,product_family,Sweets & Treats,3,18,3750,family_section,https://mcdomenuusa.com/sweets-treats/,nutrition_macros | overview_general | price_value
McNuggets & Strips,40 pc Chicken McNuggets,product_variant,Chicken McNuggets,3,42,3670,item,https://mcdomenuusa.com/menu/mcnuggets-strips/40-pc-chicken-mcnuggets/,nutrition_macros | overview_general | price_value
Burgers,Hamburger,product_variant,Burgers Menu,4,52,3600,item,https://mcdomenuusa.com/menu/burgers-menu/hamburger/,nutrition_macros | overview_general | overview_menu | price_value
Breakfast,"Steak, Egg & Cheese Bagel",product_variant,Breakfast Menu,4,27,3600,item,https://mcdomenuusa.com/menu/breakfast-menu/steak-egg-cheese-bagel/,nutrition_ingredients | nutrition_macros | overview_general | price_value
Sweets & Treats,Chocolate Chip Cookies,product_variant,Sweets & Treats,4,18,3410,item,https://mcdomenuusa.com/menu/sweets-treats/chocolate-chip-cookies/,nutrition_ingredients | nutrition_macros | overview_general | price_value
Chicken & Fish,Spicy McCrispy,product_variant,Chicken & Fish Menu,4,9,3350,item,https://mcdomenuusa.com/menu/chicken-fish/spicy-mccrispy/,nutrition_ingredients | nutrition_macros | overview_general | price_value
Fries & Sides,World Famous Fries Medium,product_variant,World Famous Fries,3,54,3180,item,https://mcdomenuusa.com/menu/fries-sides/world-famous-fries-medium/,nutrition_macros | overview_general | price_value
McNuggets & Strips,McCrispy Strips,product_variant,McNuggets & Strips,2,2,3030,item,https://mcdomenuusa.com/menu/mcnuggets-strips/mccrispy-strips/,overview_general | price_value
Value & Deals,The McDouble Meal Deal,product_variant,McValue Menu,1,1,3000,item,https://mcdomenuusa.com/menu/mcvalue-menu/mcdouble-meal-deal/,price_value
McCafe Coffees,Premium Roast Coffee,product_variant,McCafe Coffees,5,29,2980,item,https://mcdomenuusa.com/menu/mccafe-coffees/premium-roast-coffee/,nutrition_allergens | nutrition_caffeine | nutrition_ingredients | overview_menu | price_value
Breakfast,"Bacon, Egg & Cheese McGriddles",product_variant,Breakfast Menu,3,20,2810,item,https://mcdomenuusa.com/menu/breakfast-menu/bacon-egg-cheese-mcgriddles/,nutrition_macros | overview_general | price_value
Breakfast,Big Breakfast with Hotcakes,product_variant,Breakfast Menu,3,22,2780,item,https://mcdomenuusa.com/menu/breakfast-menu/big-breakfast-with-hotcakes/,nutrition_macros | overview_menu | price_value
Limited Time,Limited Time Menu,support_page,,3,54,2540,support,https://mcdomenuusa.com/limited-time-menu/,nutrition_macros | overview_general | price_value
Breakfast,"Bacon, Egg & Cheese Biscuit",product_variant,Breakfast Menu,3,27,2440,item,https://mcdomenuusa.com/menu/breakfast-menu/bacon-egg-cheese-biscuit/,nutrition_macros | overview_general | price_value
Burgers,Quarter Pounder with Cheese Deluxe,product_variant,Burgers Menu,4,11,2430,item,https://mcdomenuusa.com/menu/burgers-menu/quarter-pounder-with-cheese-deluxe/,availability_status | nutrition_macros | overview_general | price_value
Burgers,Daily Double,product_variant,Burgers Menu,4,9,2420,item,https://mcdomenuusa.com/menu/burgers-menu/daily-double/,nutrition_macros | overview_general | overview_menu | price_value
Sauces & Condiments,Creamy Ranch Sauce,product_variant,Sauces & Condiments,4,21,2270,item,https://mcdomenuusa.com/menu/sauces-condiments/creamy-ranch-sauce/,nutrition_allergens | nutrition_ingredients | nutrition_macros | overview_general
Sweets & Treats,Chocolate Shake,product_family,Sweets & Treats,3,18,2250,family_section,https://mcdomenuusa.com/sweets-treats/,nutrition_macros | overview_general | price_value
Sauces & Condiments,Spicy Buffalo Sauce,product_variant,Sauces & Condiments,1,22,2120,item,https://mcdomenuusa.com/menu/sauces-condiments/spicy-buffalo-sauce/,nutrition_ingredients
Value & Deals,Cheeseburger Meal,product_variant,Extra Value Meals,3,33,2010,item,https://mcdomenuusa.com/menu/extra-value-meals/cheeseburger-meal/,nutrition_macros | overview_menu | price_value
Beverages,Minute Maid Premium Orange Juice,product_family,Beverages & Drinks,5,21,1960,family_section,https://mcdomenuusa.com/beverage-menu/,nutrition_ingredients | nutrition_macros | overview_general | price_value | timing_hours
Beverages,Lemonade,product_family,Beverages & Drinks,5,12,1950,family_section,https://mcdomenuusa.com/beverage-menu/,nutrition_caffeine | nutrition_ingredients | nutrition_macros | overview_general | price_value
